Title,Year,Console
Mario & Sonic at the Olympic Games,2007,Wii
Mario & Sonic at the Olympic Games,2008,Nintendo DS
Mario & Sonic at the Olympic Winter Games,2009,"Wii, Nintendo DS"
Mario & Sonic at the London 2012 Olympic Games,2012,Nintendo 3DS
Mario & Sonic at the Rio 2016 Olympic Games Arcade Edition,2016,Arcade
Mario & Sonic at the Olympic Games Tokyo 2020,2019,Nintendo Switch
Super Mario Bros.: The Lost Levels,1986,Family Computer Disk System
Super Mario Bros. Deluxe,1999,Game Boy Color
Game & Watch: Super Mario Bros.,2020,Game & Watch
Super Mario Bros.,1985,NES
VS. Super Mario Bros.,1986,Arcade
Super Mario Bros.: The Lost Levels,1986,Famicom Disk System
Super Mario Bros. Special,1986,"NEC PC-88, X1"
All Night Nippon: Super Mario Bros.,1986,Famicom Disk System
Super Mario Bros.,1986,Game & Watch
I am a teacher: Super Mario Sweater,1986,Famicom Disk System
Super Mario Bros. 3,1988,NES
Super Mario Bros.,1989,Nelsonic Game Watch
Super Mario World,1990,SNES
Super Mario Bros. 3,1990,Nelsonic Game Watch
Super Mario World,1991,Nelsonic Game Watch
Mario Roulette,1991,Arcade
Mario Teaches Typing,1991,MS-DOS
Super Mario Bros. & Friends: When I Grow Up,1991,MS-DOS
Super Mario Kart,1991,SNES
Mario is Missing!,1992,MS-DOS
Mario is Missing!,1993,SNES
Mario is Missing!,1993,NES
Mario Undōkai,1993,Arcade
Super Mario All-Stars + Super Mario World,1993,SNES
Yoshi's Safari,1993,SNES
Mario's Time Machine,1993,MS-DOS
Mario's Time Machine,1993,SNES
Mario's Time Machine,1994,NES
Mario's Early Years! Fun with Numbers,1994,"SNES, MS-DOS"
Mario's Early Years! Fun with Letters,1994,"SNES, MS-DOS"
Mario's Early Years! Preschool Fun,1994,"SNES, MS-DOS"
Hotel Mario,1994,Philips CD-i
Mario's Game Gallery,1995,MS-DOS
Mario Clash,1995,Virtual Boy
Super Mario 64,1996,Nintendo 64
Mario Teaches Typing 2,1996,MS-DOS
Mario Kart 64,1996,Nintendo 64
Mario Net Quest,1997,Browser
Wrecking Crew '98,1998,Super Famicom
Mario's FUNdamentals,1998,MS-DOS
Mario Party,1998,Nintendo 64
Mario Party 2,1999,Nintendo 64
Paper Mario,2000,Nintendo 64
Mario Tennis,2000,Game Boy Color
Mario Party 3,2000,Nintendo 64
Mario Kart: Super Circuit,2001,Game Boy Advance
Super Mario World: Super Mario Advance 2,2000,Game Boy Advance
Super Mario Sunshine,2002,Nintendo GameCube
Mario Party 4,2002,Nintendo GameCube
Mario Party-e,2003,e-Reader
Super Mario Fushigi no Janjan Land,2003,Arcade
Nintendo Puzzle Collection,2003,Nintendo GameCube
Super Mario Advance 4: Super Mario Bros. 3,2003,Game Boy Advance
Mario Party 5,2003,Nintendo GameCube
Mario Golf: Advance Tour,2004,Nintendo GameCube
Paper Mario: The Thousand-Year Door,2004,Nintendo GameCube
Mario Pinball Land,2004,Game Boy Advance
Super Mario Fushigi no Korokoro Party,2004,Arcade
Mario Power Tennis,2004,Nintendo GameCube
Mario Party 6,2004,Nintendo GameCube
Super Mario 64 DS,2004,Nintendo DS
Mario Party Advance,2005,Game Boy Advance
Dance Dance Revolution: Mario Mix,2005,Nintendo GameCube
Mario Tennis: Power Tour,2005,Game Boy Advance
Super Mario Fushigi no Korokoro Party 2,2005,Arcade
Mario Kart Arcade GP,2005,Arcade
Super Princess Peach,2005,Nintendo DS
Super Mario Strikers,2005,Nintendo GameCube
New Super Mario Bros.,2006,Nintendo DS
Mario Kart Arcade GP 2,2007,Arcade
Super Paper Mario,2007,Wii
Super Mario Galaxy,2007,Wii
Mario Party DS,2007,Nintendo DS
New Play Control! Mario Power Tennis,2009,Wii
Mario Party Fushigi no Korokoro Catcher,2009,Arcade
Mario & Luigi: Bowser's Inside Story,2009,Nintendo DS
New Super Mario Bros. Wii,2009,Wii
Super Mario Galaxy 2,2010,Wii
Super Mario 3D Land,2011,Nintendo 3DS
Mario Kart 7,2011,Nintendo 3DS
New Super Mario Bros. 2,2012,Nintendo 3DS
New Super Mario Bros. U,2012,Wii U
New Super Luigi U,2013,Wii U
Mario & Luigi: Dream Team,2013,Nintendo 3DS
Mario Kart Arcade GP DX,2013,Arcade
New Super Mario Bros. U + New Super Luigi U,2013,Wii U
Super Mario 3D World,2013,Wii U
Mario Party 10,2015,Wii U
Puzzle & Dragons: Super Mario Bros. Edition,2015,Nintendo 3DS
Skylanders: SuperChargers,2015,Wii U
Mario Tennis: Ultra Smash,2015,Wii U
Mario & Sonic at the Rio 2016 Olympic Games,2016,"Nintendo 3DS, Arcade, Wii U"
Mario Party: Star Rush,2016,Nintendo 3DS
Super Mario Maker for Nintendo 3DS,2016,Nintendo 3DS
Super Mario Run,2016,"iOS, Android"
Skylanders: Imaginators,2017,Nintendo Switch
Mario + Rabbids Kingdom Battle,2017,Nintendo Switch
Super Mario Odyssey,2017,Nintendo Switch
Mario Tennis Aces,2018,Nintendo Switch
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,2018,Nintendo 3DS
New Super Mario Bros. U Deluxe,2019,Nintendo Switch
Super Mario Maker 2,2019,Nintendo Switch
Super Mario 3D All-Stars,2020,Nintendo Switch
Super Mario 3D World + Bowser's Fury,2021,Nintendo Switch
Mario + Rabbids Sparks of Hope,2022,Nintendo Switch
Super Mario Bros. Wonder,2023,Nintendo Switch
Paper Mario: The Thousand-Year Door,2024,Nintendo Switch
